"","FIPS","City","Year","Population","Primary.Point","Date"
"16986",1941610,"Kiron","July 01 1998",287,"POINT (-95.3272682 42.1941298)",1998-07-01
"16987",1976755,"Swea City","July 01 2014",526,"POINT (-94.3109198 43.3832998)",2014-07-01
"16988",1903655,"Audubon","April 01 2010",2176,"POINT (-94.9285729 41.7183297)",2010-04-01
"16989",1953625,"Monticello","July 01 1993",3684,"POINT (-91.1836421 42.2303515)",1993-07-01
"16990",1979545,"Union","July 01 1999",428,"POINT (-93.0626769 42.2435351)",1999-07-01
"16991",1975000,"Stanton","July 01 2002",700,"POINT (-95.1029513 40.9810147)",2002-07-01
"16992",1921045,"De Soto","July 01 2015",1039,"POINT (-94.009715 41.5363839)",2015-07-01
"16993",1975135,"State Center","July 01 2009",1336,"POINT (-93.1652582 42.0148885)",2009-07-01
"16994",1942015,"Knoxville","July 01 1999",8257,"POINT (-93.1023566 41.3188166)",1999-07-01
"16995",1979410,"Udell","July 01 1994",81,"POINT (-92.7426983 40.7801811)",1994-07-01
"16996",1951150,"Meriden","July 01 1995",184,"POINT (-95.6340769 42.7945167)",1995-07-01
"16997",1939405,"Janesville","April 01 2010",930,"POINT (-92.4629269 42.6458874)",2010-04-01
"16998",1985845,"Williamsburg","July 01 2003",2712,"POINT (-92.0098017 41.6679743)",2003-07-01
"16999",1983910,"West Des Moines","April 01 1990",31702,"POINT (-93.7802969 41.5527354)",1990-04-01
"17000",1957360,"North Liberty","July 01 2015",18181,"POINT (-91.610653 41.7439981)",2015-07-01
"17001",1922215,"Dow City","July 01 2001",505,"POINT (-95.4943457 41.9279982)",2001-07-01
"17002",1956550,"New Vienna","July 01 1994",384,"POINT (-91.1138852 42.5477204)",1994-07-01
"17003",1981570,"Wadena","July 01 1993",234,"POINT (-91.6594004 42.8397808)",1993-07-01
"17004",1947055,"Luana","July 01 1994",192,"POINT (-91.4557178 43.0594516)",1994-07-01
"17005",1916725,"Cotter","July 01 1992",49,"POINT (-91.4658078 41.2939949)",1992-07-01
"17006",1905680,"Belmond","July 01 2015",2320,"POINT (-93.6084501 42.8465738)",2015-07-01
"17007",1987285,"Yale","April 01 2010",246,"POINT (-94.3572116 41.7753718)",2010-04-01
"17008",1972300,"Shelby","July 01 2017",615,"POINT (-95.4505587 41.5066731)",2017-07-01
"17009",1915015,"Colesburg","July 01 2016",387,"POINT (-91.2010037 42.6387958)",2016-07-01
"17010",1913125,"Chester","July 01 1998",157,"POINT (-92.3639508 43.4918437)",1998-07-01
"17011",1926985,"Farragut","July 01 2012",464,"POINT (-95.4806851 40.7200068)",2012-07-01
"17012",1948540,"Malcom","July 01 1997",443,"POINT (-92.5574629 41.7075959)",1997-07-01
"17013",1955065,"Murray","July 01 2014",735,"POINT (-93.9488848 41.0413552)",2014-07-01
"17014",1935760,"Hepburn","July 01 2018",17,"POINT (-95.0166861 40.8476568)",2018-07-01
